,Dextran 10 kg/mol (wt%),PEO 10 kg/mol (wt%),Phase_Separation
0,4.80744,9.24371,1
1,4.67427,8.98766,0
2,4.18841,8.05345,0
3,8.8805,7.05172,1
4,8.7075,6.91435,0
5,8.06737,6.40604,0
6,12.35948,7.55107,1
7,12.14665,7.42105,1
8,11.93381,7.29101,1
9,11.51343,7.03418,1
10,11.12147,6.79471,1
11,10.75532,6.57101,1
12,10.41252,6.36157,1
13,10.09042,6.16478,0
14,1.06521,13.06932,1
15,1.04389,12.80775,1
16,1.02357,12.55852,1
17,1.00481,12.32826,0
18,7.27859,8.47624,1
19,7.1183,8.28957,1
20,6.96492,8.11096,1
21,6.81726,7.939,0
22,6.6753,7.77368,0
23,6.53858,7.61446,0
24,6.40761,7.46194,0
25,6.28178,7.31541,0
26,6.15921,7.17267,0
27,6.0431,7.03745,0
28,5.93117,6.9071,0
29,5.82276,6.78086,0
30,5.61456,6.53841,0
31,5.42521,6.31789,0
32,5.2491,6.11281,0
33,3.02201,10.86042,1
34,2.98023,10.71027,1
35,2.93985,10.56515,1
36,2.90063,10.42421,0
37,2.82422,10.14961,0
38,2.75014,9.8834,0
39,2.67986,9.6308,0
40,2.61259,9.38907,0
41,2.54856,9.15895,0
